is_grand_final,updated,hteamid,timestr,complete,tz,unixtime,winner,ascore,hgoals,ateam,abehinds,is_final,date,hbehinds,hteam,venue,winnerteamid,round,hscore,agoals,id,ateamid,localtime,year,roundname
0,2022-01-25 11:07:11,13,Full Time,100,+10:00,1180246200,Geelong,116,8,Geelong,20,0,2007-05-27 16:10:00,12,Port Adelaide,Football Park,7.0,9,60,16,9487,7,2007-05-27 15:40:00,2007,Round 9
0,2022-01-25 11:07:11,14,Full Time,100,+10:00,1180170600,Essendon,92,12,Essendon,20,0,2007-05-26 19:10:00,12,Richmond,M.C.G.,5.0,9,84,12,9483,5,2007-05-26 19:10:00,2007,Round 9
0,2022-01-25 11:07:11,18,Full Time,100,+10:00,1180235400,Sydney,100,8,Sydney,10,0,2007-05-27 13:10:00,9,Western Bulldogs,Manuka Oval,16.0,9,57,15,9485,16,2007-05-27 13:10:00,2007,Round 9
0,2022-01-25 11:07:11,3,Full Time,100,+10:00,1180843800,Carlton,128,21,Western Bulldogs,14,0,2007-06-03 14:10:00,12,Carlton,M.C.G.,3.0,10,138,19,9494,18,2007-06-03 14:10:00,2007,Round 10
0,2022-01-25 11:07:11,4,Full Time,100,+10:00,1180690800,Collingwood,94,15,Fremantle,16,0,2007-06-01 19:40:00,13,Collingwood,M.C.G.,4.0,10,103,13,9488,6,2007-06-01 19:40:00,2007,Round 10
0,2022-01-25 11:07:11,11,Full Time,100,+10:00,1180757400,Melbourne,72,13,Adelaide,12,0,2007-06-02 14:10:00,11,Melbourne,M.C.G.,11.0,10,89,10,9489,1,2007-06-02 14:10:00,2007,Round 10
0,2022-01-25 11:07:11,13,Full Time,100,+10:00,1180838400,Hawthorn,109,10,Hawthorn,7,0,2007-06-03 12:40:00,15,Port Adelaide,Football Park,10.0,10,75,17,9493,10,2007-06-03 12:10:00,2007,Round 10
0,2022-01-25 11:07:11,14,Full Time,100,+10:00,1180775700,,73,10,Brisbane Lions,13,0,2007-06-02 19:15:00,13,Richmond,Docklands,,10,73,10,9492,2,2007-06-02 19:15:00,2007,Round 10
0,2022-01-25 11:07:11,15,Full Time,100,+10:00,1180854600,Geelong,125,9,Geelong,11,0,2007-06-03 17:10:00,11,St Kilda,Docklands,7.0,10,65,19,9495,7,2007-06-03 17:10:00,2007,Round 10
0,2022-01-25 11:07:11,16,Full Time,100,+10:00,1180775700,Essendon,74,11,Essendon,8,0,2007-06-02 19:15:00,7,Sydney,S.C.G.,5.0,10,73,11,9491,5,2007-06-02 19:15:00,2007,Round 10
0,2022-01-25 11:07:11,17,Full Time,100,+10:00,1180757400,West Coast,55,18,North Melbourne,13,0,2007-06-02 14:10:00,13,West Coast,Subiaco,17.0,10,121,7,9490,12,2007-06-02 12:10:00,2007,Round 10
0,2022-01-25 11:07:11,1,Full Time,100,+10:00,1181443200,Geelong,69,9,Geelong,15,0,2007-06-10 12:40:00,8,Adelaide,Football Park,7.0,11,62,9,9500,7,2007-06-10 12:10:00,2007,Round 11
0,2022-01-25 11:07:11,2,Full Time,100,+10:00,1181380500,Western Bulldogs,95,10,Western Bulldogs,17,0,2007-06-09 19:15:00,12,Brisbane Lions,Gabba,18.0,11,72,13,9499,18,2007-06-09 19:15:00,2007,Round 11
