venue,hbehinds,hteam,winnerteamid,round,agoals,hscore,is_final,date,year,localtime,roundname,id,ateamid,timestr,complete,tz,is_grand_final,updated,hteamid,ascore,winner,hgoals,abehinds,ateam,unixtime
M.C.G.,6,Richmond,14.0,9,11,102,0,2023-05-12 19:20:00,2023,2023-05-12 19:20:00,Round 9,34332,7,Full Time,100,+10:00,0,2023-05-12 23:23:13,14,78,Richmond,16,12,Geelong,1683883200
S.C.G.,8,Sydney,6.0,9,16,86,0,2023-05-13 13:45:00,2023,2023-05-13 13:45:00,Round 9,34334,6,Full Time,100,+10:00,0,2023-05-13 16:28:27,16,103,Fremantle,13,7,Fremantle,1683949500
Perth Stadium,7,West Coast,8.0,9,16,43,0,2023-05-12 20:40:00,2023,2023-05-12 18:40:00,Round 9,34333,8,Full Time,100,+10:00,0,2023-05-12 23:23:13,17,113,Gold Coast,6,17,Gold Coast,1683888000
Gabba,11,Brisbane Lions,2.0,10,9,107,0,2023-05-20 19:30:00,2023,2023-05-20 19:30:00,Round 10,34345,8,Full Time,100,+10:00,0,2023-05-20 22:12:50,2,64,Brisbane Lions,16,10,Gold Coast,1684575000
M.C.G.,15,Carlton,4.0,10,13,57,0,2023-05-21 15:20:00,2023,2023-05-21 15:20:00,Round 10,34348,4,Full Time,100,+10:00,0,2023-05-21 17:53:39,3,85,Collingwood,7,7,Collingwood,1684646400
M.C.G.,11,Essendon,5.0,10,10,71,0,2023-05-20 19:40:00,2023,2023-05-20 19:40:00,Round 10,34346,14,Full Time,100,+10:00,0,2023-05-20 22:13:49,5,70,Essendon,10,10,Richmond,1684575600
Perth Stadium,10,Fremantle,6.0,10,11,106,0,2023-05-20 16:35:00,2023,2023-05-20 14:35:00,Round 10,34344,7,Full Time,100,+10:00,0,2023-05-20 19:17:38,6,77,Fremantle,16,11,Geelong,1684564500
Sydney Showground,8,Greater Western Sydney,15.0,10,13,80,0,2023-05-21 16:40:00,2023,2023-05-21 16:40:00,Round 10,34349,15,Full Time,100,+10:00,0,2023-05-21 19:21:53,9,92,St Kilda,12,14,St Kilda,1684651200
York Park,10,Hawthorn,10.0,10,4,142,0,2023-05-21 13:10:00,2023,2023-05-21 13:10:00,Round 10,34347,17,Full Time,100,+10:00,0,2023-05-21 15:52:56,10,26,Hawthorn,22,2,West Coast,1684638600
Docklands,6,North Melbourne,16.0,10,14,90,0,2023-05-20 13:45:00,2023,2023-05-20 13:45:00,Round 10,34342,16,Full Time,100,+10:00,0,2023-05-20 16:28:27,12,93,Sydney,14,9,Sydney,1684554300
Adelaide Oval,14,Port Adelaide,13.0,10,11,80,0,2023-05-19 19:50:00,2023,2023-05-19 19:20:00,Round 10,34341,11,Full Time,100,+10:00,0,2023-05-19 22:32:13,13,76,Port Adelaide,11,10,Melbourne,1684489800
Eureka Stadium,19,Western Bulldogs,18.0,10,5,85,0,2023-05-20 14:10:00,2023,2023-05-20 14:10:00,Round 10,34343,1,Full Time,100,+10:00,0,2023-05-20 16:49:29,18,40,Western Bulldogs,11,10,Adelaide,1684555800
Adelaide Oval,11,Adelaide,1.0,11,10,95,0,2023-05-28 16:40:00,2023,2023-05-28 16:10:00,Round 11,34358,2,Full Time,100,+10:00,0,2023-05-28 19:30:18,1,78,Adelaide,14,18,Brisbane Lions,1685256000
Docklands,9,Collingwood,4.0,11,10,105,0,2023-05-28 15:20:00,2023,2023-05-28 15:20:00,Round 11,34357,12,Full Time,100,+10:00,0,2023-05-28 17:54:23,4,70,Collingwood,16,10,North Melbourne,1685251200
Kardinia Park,14,Geelong,9.0,11,12,74,0,2023-05-27 16:35:00,2023,2023-05-27 16:35:00,Round 11,34353,9,Full Time,100,+10:00,0,2023-05-27 19:10:29,7,81,Greater Western Sydney,10,9,Greater Western Sydney,1685169300
Marrara Oval,6,Gold Coast,8.0,11,11,84,0,2023-05-27 19:25:00,2023,2023-05-27 18:55:00,Round 11,34354,18,Full Time,100,+10:00,0,2023-05-27 22:05:51,8,77,Gold Coast,13,11,Western Bulldogs,1685179500
M.C.G.,12,Melbourne,6.0,11,12,72,0,2023-05-27 14:10:00,2023,2023-05-27 14:10:00,Round 11,34352,6,Full Time,100,+10:00,0,2023-05-27 16:47:09,11,79,Fremantle,10,7,Fremantle,1685160600
M.C.G.,13,Richmond,13.0,11,10,67,0,2023-05-28 13:10:00,2023,2023-05-28 13:10:00,Round 11,34356,13,Full Time,100,+10:00,0,2023-05-28 15:47:48,14,77,Port Adelaide,9,17,Port Adelaide,1685243400
Docklands,6,St Kilda,10.0,11,12,78,0,2023-05-27 13:45:00,2023,2023-05-27 13:45:00,Round 11,34351,10,Full Time,100,+10:00,0,2023-05-27 16:18:28,15,88,Hawthorn,12,16,Hawthorn,1685159100
S.C.G.,11,Sydney,16.0,11,6,77,0,2023-05-26 19:50:00,2023,2023-05-26 19:50:00,Round 11,34350,3,Full Time,100,+10:00,0,2023-05-26 22:23:38,16,51,Sydney,11,15,Carlton,1685094600
Perth Stadium,10,West Coast,5.0,11,14,46,0,2023-05-27 19:40:00,2023,2023-05-27 17:40:00,Round 11,34355,5,Full Time,100,+10:00,0,2023-05-27 22:07:16,17,96,Essendon,6,12,Essendon,1685180400
Docklands,9,Essendon,5.0,12,15,105,0,2023-06-04 16:40:00,2023,2023-06-04 16:40:00,Round 12,34365,12,Full Time,100,+10:00,0,2023-06-04 19:20:19,5,99,Essendon,16,9,North Melbourne,1685860800
Marrara Oval,16,Gold Coast,8.0,12,13,112,0,2023-06-03 19:30:00,2023,2023-06-03 19:00:00,Round 12,34363,1,Full Time,100,+10:00,0,2023-06-03 22:21:38,8,87,Gold Coast,16,9,Adelaide,1685784600
Sydney Showground,14,Greater Western Sydney,14.0,12,16,104,0,2023-06-04 13:10:00,2023,2023-06-04 13:10:00,Round 12,34364,14,Full Time,100,+10:00,0,2023-06-04 15:54:23,9,110,Richmond,15,14,Richmond,1685848200
M.C.G.,13,Melbourne,11.0,12,6,61,0,2023-06-02 19:50:00,2023,2023-06-02 19:50:00,Round 12,34359,3,Full Time,100,+10:00,0,2023-06-02 22:19:18,11,44,Melbourne,8,8,Carlton,1685699400
Adelaide Oval,13,Port Adelaide,13.0,12,14,151,0,2023-06-03 13:45:00,2023,2023-06-03 13:15:00,Round 12,34360,10,Full Time,100,+10:00,0,2023-06-03 16:31:07,13,96,Port Adelaide,23,12,Hawthorn,1685763900
Perth Stadium,9,West Coast,4.0,12,18,57,0,2023-06-03 16:35:00,2023,2023-06-03 14:35:00,Round 12,34361,4,Full Time,100,+10:00,0,2023-06-03 19:15:17,17,120,Collingwood,8,12,Collingwood,1685774100
Docklands,15,Western Bulldogs,7.0,12,15,75,0,2023-06-03 19:25:00,2023,2023-06-03 19:25:00,Round 12,34362,7,Full Time,100,+10:00,0,2023-06-03 22:01:23,18,97,Geelong,10,7,Geelong,1685784300
Adelaide Oval,12,Adelaide,1.0,13,8,174,0,2023-06-10 16:35:00,2023,2023-06-10 16:05:00,Round 13,34369,17,Full Time,100,+10:00,0,2023-06-10 19:21:17,1,52,Adelaide,27,4,West Coast,1686378900
M.C.G.,16,Carlton,5.0,13,13,52,0,2023-06-11 19:15:00,2023,2023-06-11 19:15:00,Round 13,34372,5,Full Time,100,+10:00,0,2023-06-11 21:45:15,3,86,Essendon,6,8,Essendon,1686474900
Perth Stadium,10,Fremantle,14.0,13,12,70,0,2023-06-10 19:25:00,2023,2023-06-10 17:25:00,Round 13,34370,14,Full Time,100,+10:00,0,2023-06-10 22:08:49,6,85,Richmond,10,13,Richmond,1686389100
M.C.G.,8,Hawthorn,10.0,13,11,98,0,2023-06-10 13:45:00,2023,2023-06-10 13:45:00,Round 13,34368,2,Full Time,100,+10:00,0,2023-06-10 16:22:13,10,73,Hawthorn,15,7,Brisbane Lions,1686368700
M.C.G.,18,Melbourne,11.0,13,9,66,0,2023-06-12 15:20:00,2023,2023-06-12 15:20:00,Round 13,34373,4,Full Time,100,+10:00,0,2023-06-12 17:53:36,11,62,Melbourne,8,8,Collingwood,1686547200
