unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,complete,timestr,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hteam,hbehinds,winnerteamid,round,hscore,agoals
1558855200,Fremantle,72,10,12,Brisbane Lions,0,2019-05-26 19:50:03,6,100,Full Time,+10:00,3200,2,2019,2019-05-26 15:20:00,Round 10,0,2019-05-26 17:20:00,Perth Stadium,Fremantle,13,6,10,73,10
1558776300,Geelong,91,9,13,Geelong,0,2019-05-25 22:06:03,8,100,Full Time,+10:00,3196,7,2019,2019-05-25 19:25:00,Round 10,0,2019-05-25 19:25:00,Carrara,Gold Coast,10,7,10,64,13
1558755900,Hawthorn,49,12,13,Port Adelaide,0,2019-05-25 16:20:02,10,100,Full Time,+10:00,3189,13,2019,2019-05-25 13:45:00,Round 10,0,2019-05-25 13:45:00,York Park,Hawthorn,8,10,10,80,6
1558840200,Greater Western Sydney,94,10,10,Greater Western Sydney,0,2019-05-26 15:44:03,11,100,Full Time,+10:00,3198,9,2019,2019-05-26 13:10:00,Round 10,0,2019-05-26 13:10:00,M.C.G.,Melbourne,8,9,10,68,14
1558776300,Richmond,50,10,14,Essendon,0,2019-05-25 22:00:04,14,100,Full Time,+10:00,3197,5,2019,2019-05-25 19:25:00,Round 10,0,2019-05-25 19:25:00,M.C.G.,Richmond,13,14,10,73,6
1558848000,St Kilda,55,9,7,Carlton,0,2019-05-26 17:52:02,15,100,Full Time,+10:00,3199,3,2019,2019-05-26 15:20:00,Round 10,0,2019-05-26 15:20:00,Marvel Stadium,St Kilda,14,15,10,68,8
1558691400,Collingwood,80,11,14,Collingwood,0,2019-05-24 22:38:03,16,100,Full Time,+10:00,3188,4,2019,2019-05-24 19:50:00,Round 10,0,2019-05-24 19:50:00,S.C.G.,Sydney,7,4,10,73,11
1558757400,North Melbourne,115,13,7,North Melbourne,0,2019-05-25 16:46:02,18,100,Full Time,+10:00,3194,12,2019,2019-05-25 14:10:00,Round 10,0,2019-05-25 14:10:00,Marvel Stadium,Western Bulldogs,12,12,10,90,18
1559381100,Brisbane Lions,66,12,6,Hawthorn,0,2019-06-01 22:02:02,2,100,Full Time,+10:00,3205,10,2019,2019-06-01 19:25:00,Round 11,0,2019-06-01 19:25:00,Gabba,Brisbane Lions,13,2,11,85,10
1559360700,Fremantle,79,11,13,Fremantle,0,2019-06-01 16:18:02,4,100,Full Time,+10:00,3202,6,2019,2019-06-01 13:45:00,Round 11,0,2019-06-01 13:45:00,M.C.G.,Collingwood,9,6,11,75,11
1559452800,Essendon,33,11,9,Carlton,0,2019-06-02 17:54:02,5,100,Full Time,+10:00,3208,3,2019,2019-06-02 15:20:00,Round 11,0,2019-06-02 15:20:00,M.C.G.,Essendon,8,5,11,74,4
1559370900,Geelong,63,13,15,Sydney,0,2019-06-01 19:08:03,7,100,Full Time,+10:00,3204,16,2019,2019-06-01 16:35:00,Round 11,0,2019-06-01 16:35:00,Kardinia Park,Geelong,7,7,11,85,8
1559360700,Greater Western Sydney,43,19,7,Gold Coast,0,2019-06-01 16:24:02,9,100,Full Time,+10:00,3203,8,2019,2019-06-01 13:45:00,Round 11,0,2019-06-01 13:45:00,Sydney Showground,Greater Western Sydney,12,9,11,126,6
1559382000,Adelaide,90,12,6,Adelaide,0,2019-06-01 22:14:02,11,100,Full Time,+10:00,3206,1,2019,2019-06-01 19:10:00,Round 11,0,2019-06-01 19:40:00,Marrara Oval,Melbourne,16,1,11,88,14
1559296200,North Melbourne,62,15,8,Richmond,0,2019-05-31 22:26:02,12,100,Full Time,+10:00,3201,14,2019,2019-05-31 19:50:00,Round 11,0,2019-05-31 19:50:00,Marvel Stadium,North Melbourne,9,12,11,99,9
1559450400,Port Adelaide,139,9,7,Port Adelaide,0,2019-06-02 17:04:02,15,100,Full Time,+10:00,3207,13,2019,2019-06-02 12:40:00,Round 11,0,2019-06-02 14:40:00,Jiangwan Stadium,St Kilda,15,13,11,69,22
